Issue Type,Summary,Description,Epic Name,Assignee,Status
Story,US-16 ยกเลิกโปรเจกต์,Pioneer ยกเลิกโปรเจกต์,E2,110-002 Top Kritsana Piwgram,Done
Story,US-17 Category Management,Admin จัดการหมวดหมู่โปรเจกต์,E2,110-002 Top Kritsana Piwgram,Done
Story,US-18 Unit Test Project,เขียน unit test ครอบคลุม Project service,E2,110-002 Top Kritsana Piwgram,In Progress
Epic,E3: Investment & Payment,Investment and payment processing system,E3,110-011 Boom Phongsakorn Tangpok,Done
Story,US-19 ลงทุนโปรเจกต์,Booster ลงทุนโปรเจกต์และรับ QR PromptPay,E3,110-011 Boom Phongsakorn Tangpok,Done
Story,US-20 ดูประวัติการลงทุน,Booster ดูรายการและรายละเอียดการลงทุน,E3,110-011 Boom Phongsakorn Tangpok,Done
Story,US-21 Stripe Webhook,รับ event จาก Stripe และอัปเดตสถานะ,E3,110-011 Boom Phongsakorn Tangpok,Done
Story,US-22 Refund,Booster ขอ refund และ admin อนุมัติ,E3,110-011 Boom Phongsakorn Tangpok,Done
Story,US-23 ดู Investors,ดูรายชื่อผู้ลงทุนของโปรเจกต์,E3,110-011 Boom Phongsakorn Tangpok,Done
Story,US-24 Unit Test Investment,เขียน unit test ครอบคลุม Investment service,E3,110-011 Boom Phongsakorn Tangpok,Todo
Epic,E4: Milestone & Voting,Milestone submission and voting system,E4,110-002 Top Kritsana Piwgram,Todo
Story,US-25 Pioneer Submit Milestone,Pioneer ส่ง milestone พร้อมแนบหลักฐาน,E4,110-002 Top Kritsana Piwgram,Todo
Story,US-26 Booster Vote Milestone,Booster โหวต approve/reject milestone,E4,110-011 Boom Phongsakorn Tangpok,Todo
Story,US-27 ดูผลโหวต,ดูผลโหวต approve/reject count และสถานะ,E4,110-011 Boom Phongsakorn Tangpok,Todo
Story,US-28 นัดประชุม Milestone,Pioneer นัดประชุม milestone และแจ้งเตือน Booster,E4,110-002 Top Kritsana Piwgram,Todo
Story,US-29 Admin ระงับปล่อยเงิน,Admin ระงับการปล่อยเงินของ milestone,E4,110-002 Top Kritsana Piwgram,Todo
Story,US-30 Unit Test Milestone & Vote,เขียน unit test ครอบคลุม Milestone และ Vote service,E4,110-011 Boom Phongsakorn Tangpok,Todo
Epic,E5: Profit & Disbursement,Profit distribution and fund disbursement system,E5,110-011 Boom Phongsakorn Tangpok,Todo
Story,US-31 Pioneer โอนกำไรเข้า Profit Pool,Pioneer โอนกำไรเข้าแพลตฟอร์ม,E5,110-011 Boom Phongsakorn Tangpok,Todo
Story,US-32 กระจายกำไรให้ Booster,แพลตฟอร์มกระจายกำไรให้ Booster ตามสัดส่วน,E5,110-011 Boom Phongsakorn Tangpok,Todo
Story,US-33 Pioneer ดูสรุปการกระจายกำไร,Pioneer ดูสรุปการกระจายกำไรให้ Booster,E5,110-011 Boom Phongsakorn Tangpok,Todo
Story,US-34 Booster ดูกำไรที่ได้รับ,Booster ดูรายการกำไรที่ได้รับ,E5,110-011 Boom Phongsakorn Tangpok,Todo
Story,US-35 Disbursement เมื่อ Vote ผ่าน,ปล่อยเงินให้ Pioneer เมื่อ milestone vote ผ่าน,E5,110-011 Boom Phongsakorn Tangpok,Todo
Story,US-36 Unit Test Profit & Disbursement,เขียน unit test ครอบคลุม Profit และ Disbursement service,E5,110-011 Boom Phongsakorn Tangpok,Todo
Epic,E6: Admin & Platform Ops,Admin operations and platform management,E6,110-002 Top Kritsana Piwgram,Todo
Story,US-37 Admin อนุมัติ/ปฏิเสธ Verification,Admin อนุมัติหรือปฏิเสธ student card และ ID card,E6,110-002 Top Kritsana Piwgram,Done
Story,US-38 Admin Suspend / Rollback User,Admin ระงับและคืนสถานะผู้ใช้,E6,110-002 Top Kritsana Piwgram,Done
Story,US-39 Admin อนุมัติ/ปฏิเสธ Project,Admin อนุมัติหรือปฏิเสธโปรเจกต์,E6,110-002 Top Kritsana Piwgram,Done
Story,US-40 Admin Suspend Project,Admin ระงับโปรเจกต์ที่ผิดกฎ,E6,110-002 Top Kritsana Piwgram,Done
Story,US-41 Notification System,แจ้งเตือน in-app และ email เมื่อสถานะเปลี่ยน,E6,110-011 Boom Phongsakorn Tangpok,Todo
Story,US-42 Audit Log,บันทึก log ทุก transaction เพื่อความโปร่งใส,E6,110-011 Boom Phongsakorn Tangpok,Todo
Epic,E7: Testing & QA,Integration testing and documentation,E7,110-002 Top Kritsana Piwgram,In Progress
Story,US-43 Integration Test Auth,ทดสอบ Auth flow end-to-end,E7,110-002 Top Kritsana Piwgram,In Progress
Story,US-44 Integration Test Project,ทดสอบ Project lifecycle end-to-end,E7,110-002 Top Kritsana Piwgram,Todo
Story,US-45 Integration Test Investment,ทดสอบ Investment และ Stripe webhook end-to-end,E7,110-011 Boom Phongsakorn Tangpok,Todo
Story,US-46 Integration Test Milestone,ทดสอบ Milestone vote และ disbursement end-to-end,E7,110-002 Top Kritsana Piwgram,Todo
Story,US-47 Swagger / API Docs,ตรวจสอบและอัปเดต Swagger ครบทุก endpoint,E7,110-002 Top Kritsana Piwgram,Todo
